tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
0,MICE + SCM_robust,0.0,0.0,0,0.02243947982788086,3.3173411788942944,0.517480637783898,0.32526605993424346,,True
1,MICE + SCM_robust,0.0,0.0,1,0.018672704696655273,3.0870553888720678,0.4998741248889431,0.4013182262439861,,True
2,MICE + SCM_robust,0.0,0.0,2,0.01996636390686035,3.1796105103116803,0.48067658009255126,0.261751083945784,,True
3,MICE + SCM_robust,0.0,0.0,3,0.015000104904174805,3.1910888690633032,0.4898913687555426,0.3225856044064686,,True
4,MICE + SCM_robust,0.0,0.0,4,0.02039647102355957,3.822057519895248,0.5679109057690581,0.33034413626645026,,True
5,MICE + SCM_robust,0.0,0.0,5,0.02343153953552246,3.340214162468266,0.5073427423439251,0.3374765276759761,,True
6,MICE + SCM_robust,0.0,0.0,6,0.015461444854736328,3.345947177782507,0.5092244092401584,0.34011743101986414,,True
7,MICE + SCM_robust,0.0,0.0,7,0.021509170532226562,3.6370712904719253,0.5459024204711355,0.3438165558647342,,True
8,MICE + SCM_robust,0.0,0.0,8,0.021114587783813477,3.204762125616446,0.4952215611587511,0.3675792420112747,,True
9,MICE + SCM_robust,0.0,0.0,9,0.0213165283203125,3.7025816816071013,0.548417649881646,0.25609767764276714,,True
10,MICE + SCM_robust,0.0,0.0,10,0.013669967651367188,3.7685476467307426,0.5477556982247166,0.4179336747099653,,True
11,MICE + SCM_robust,0.0,0.0,11,0.014287710189819336,3.2310130969623354,0.4916834469047665,0.2736814699963205,,True
12,MICE + SCM_robust,0.0,0.0,12,0.02151775360107422,2.9324603681267605,0.47272651885772327,0.29954505635485607,,True
13,MICE + SCM_robust,0.0,0.0,13,0.022616147994995117,3.5515475743537968,0.5313546428654248,0.33334678371436643,,True
14,MICE + SCM_robust,0.0,0.0,14,0.016670703887939453,3.680701635134956,0.5455926426976961,0.32029612362904103,,True
15,MICE + SCM_robust,0.0,0.0,15,0.014159440994262695,3.6205296737888513,0.5355401486318934,0.256924368299799,,True
16,MICE + SCM_robust,0.0,0.0,16,0.018000364303588867,3.2890059382181147,0.5023509259837307,0.36030093859203643,,True
17,MICE + SCM_robust,0.0,0.0,17,0.01438140869140625,2.9852038833734564,0.4754878751514564,0.30841708294729697,,True
18,MICE + SCM_robust,0.0,0.0,18,0.01576852798461914,3.592525006247601,0.5368032457614957,0.2900272051512282,,True
